method,precision,recall,f1,accuracy,specificity,sensitivity,avg_detection_time,true_negatives,false_positives,false_negatives,true_positives,tamper_resistance,false_positive_rate,latency_ms,throughput_rpm
ZKP Framework,0.9220580743759552,0.905,0.9134494070148877,0.91425,0.9235,0.905,0.0009282914400100708,1847.0,153.0,190.0,1810.0,0.921,0.0765,0.9282914400100708,64634.87371956061
Regex Baseline,0.9221374045801527,0.906,0.9139974779319041,0.91475,0.9235,0.906,0.000563001811504364,1847.0,153.0,188.0,1812.0,0.9175,0.0765,0.563001811504364,106571.59315291994
LLM Simulator,0.9995002498750625,1.0,0.9997500624843789,0.99975,0.9995,1.0,0.004452565550804138,1999.0,1.0,0.0,2000.0,1.0,0.0005,4.452565550804138,13475.377131542496
Ensemble,0.9285051067780873,1.0,0.9629272989889264,0.9615,0.923,1.0,0.004107702732086182,1846.0,154.0,0.0,2000.0,1.0,0.077,4.107702732086182,14606.704504521864
