method,precision,recall,f1,accuracy,specificity,sensitivity,avg_detection_time,true_negatives,false_positives,false_negatives,true_positives,tamper_resistance,false_positive_rate,latency_ms,throughput_rpm
ZKP Framework,0.8454828660436137,0.9046666666666666,0.8740740740740741,0.8696666666666667,0.8346666666666667,0.9046666666666666,0.003794180711110433,2504.0,496.0,286.0,2714.0,0.9215,0.16533333333333333,3.794180711110433,15813.690640591538
Regex Baseline,0.8436317780580076,0.892,0.8671419313026572,0.8633333333333333,0.8346666666666667,0.892,0.0012460530996322632,2504.0,496.0,324.0,2676.0,0.9075,0.16533333333333333,1.2460530996322632,48152.04104681195
LLM Simulator,0.9996667777407531,1.0,0.9998333611064822,0.9998333333333334,0.9996666666666667,1.0,0.002120332320531209,2999.0,1.0,0.0,3000.0,1.0,0.0003333333333333333,2.120332320531209,28297.451026435392
Ensemble,0.8581235697940504,1.0,0.9236453201970444,0.9173333333333333,0.8346666666666667,1.0,0.002334508657455444,2504.0,496.0,0.0,3000.0,1.0,0.16533333333333333,2.3345086574554443,25701.33968378532
