method,precision,recall,f1,accuracy,specificity,sensitivity,avg_detection_time,true_negatives,false_positives,false_negatives,true_positives,tamper_resistance,false_positive_rate,latency_ms,throughput_rpm
ZKP Framework,0.8454828660436137,0.9046666666666666,0.8740740740740741,0.8696666666666667,0.8346666666666667,0.9046666666666666,0.0006538120905558269,2504.0,496.0,286.0,2714.0,0.9205,0.16533333333333333,0.6538120905558269,91769.48677867376
Regex Baseline,0.8436317780580076,0.892,0.8671419313026572,0.8633333333333333,0.8346666666666667,0.892,0.0003323616981506348,2504.0,496.0,324.0,2676.0,0.9105,0.16533333333333333,0.33236169815063477,180526.21687113438
LLM Simulator,0.9996667777407531,1.0,0.9998333611064822,0.9998333333333334,0.9996666666666667,1.0,0.0024843162298202517,2999.0,1.0,0.0,3000.0,1.0,0.0003333333333333333,2.4843162298202515,24151.51472256058
Ensemble,0.8581235697940504,1.0,0.9236453201970444,0.9173333333333333,0.8346666666666667,1.0,0.0049368493954340615,2504.0,496.0,0.0,3000.0,1.0,0.16533333333333333,4.936849395434061,12153.500176750811
