method,precision,recall,f1,accuracy,specificity,sensitivity,avg_detection_time,true_negatives,false_positives,false_negatives,true_positives,tamper_resistance,false_positive_rate,latency_ms,throughput_rpm
ZKP Framework,0.9266877854116098,0.901,0.9136633743687509,0.91486,0.92872,0.901,0.000613398118019104,23218.0,1782.0,2475.0,22525.0,0.9205,0.07128,0.6133981180191039,97815.75495171528
Regex Baseline,0.9264244426094137,0.89752,0.9117431938236489,0.91312,0.92872,0.89752,0.0003549326467514038,23218.0,1782.0,2562.0,22438.0,0.9145,0.07128,0.3549326467514038,169046.1572052126
LLM Simulator,1.0,1.0,1.0,1.0,1.0,1.0,0.0040074575805664064,25000.0,0.0,0.0,25000.0,1.0,0.0,4.007457580566406,14972.086115386832
Ensemble,0.9334627735045926,1.0,0.9655864972384226,0.96436,0.92872,1.0,0.006058392992019653,23218.0,1782.0,0.0,25000.0,1.0,0.07128,6.0583929920196535,9903.616368075544
